Date,Open,High,Low,Close,Volume,AdjClose
2013-08-19,64.09,65.34,64.04,64.2,1820000.0,57.860599033757
2013-08-16,65.86,65.999,64.57,64.6,2320800.0,58.221101208422006
2013-08-15,67.67,67.74,65.97,66.02,2235900.0,59.500883928483
2013-08-14,68.35,68.73,67.93,68.49,1577200.0,61.72698485704
2013-08-13,68.56,68.83,67.77,68.41,1935200.0,61.654884422107
2013-08-12,67.07,68.48,67.07,68.17,1680100.0,61.438583117308
2013-08-09,66.49,67.7,66.4424,67.5,2631200.0,60.834741974744
2013-08-08,64.2,66.85,64.19,66.721,2567800.0,60.132663989583996
2013-08-07,64.4,64.45,63.18,63.62,1880700.0,57.337870880492
2013-08-06,64.55,64.82,63.73,64.46,1604300.0,58.094925447289
2013-08-05,65.15,65.669,64.53,64.8,1287900.0,58.401352295754
2013-08-02,66.01,66.11,64.995,65.16,1633700.0,58.725804252953
2013-08-01,65.25,66.6,64.6,66.44,2132200.0,59.879411211881
2013-07-31,65.38,65.65,64.03,64.38,2532300.0,58.022825012356
2013-07-30,62.92,65.3,62.86,65.09,3383200.0,58.662716372386
2013-07-29,62.92,62.9999,62.12,62.6,2177400.0,56.418590335096
2013-07-26,63.21,63.22,61.71,62.63,3384500.0,56.445627998196
2013-07-25,63.5,64.16,61.49,63.53,5316200.0,57.256757891191995
2013-07-24,66.27,67.8,65.97,67.53,3289400.0,60.861779637844
2013-07-23,70.42,70.5,67.62,67.83,2796000.0,61.132156268843005
2013-07-22,70.26,70.61,69.58,70.09,1832700.0,63.168993555701
2013-07-19,69.54,70.25,69.02,69.79,1746800.0,62.898616924702
2013-07-18,68.85,69.99,68.59,69.65,1742000.0,62.772441163569
2013-07-17,68.4299,68.67,67.711,68.55,1096500.0,61.78106018324
2013-07-16,68.45,68.54899999999999,67.78,67.89,1317700.0,61.186231595042
2013-07-15,67.91,68.67,67.84,68.24,1886600.0,61.501670997874
2013-07-12,67.26,67.93,66.995,67.86,2299200.0,61.159193931942994
2013-07-11,68.07,68.64,66.69,67.02,2506300.0,60.402139365146
2013-07-10,66.23,67.27,66.01,67.23,2491400.0,60.591403006845
2013-07-09,66.03,66.3,64.775,66.2,2085900.0,59.663109907082
2013-07-08,64.61,65.34,64.59,65.22,2364700.0,58.779879579153004
2013-07-05,63.8,64.73,63.33,64.51,1857000.0,58.139988219122
2013-07-03,62.89,63.81,62.56,63.21,951900.0,56.96835615146
2013-07-02,62.76,63.56,62.42,63.18,2157000.0,56.94131848836
2013-07-01,62.09,63.5,62.09,63.06,1806000.0,56.833167835961
2013-06-28,62.32,62.87,61.65,62.09,4392500.0,55.958950062398
2013-06-27,61.89,63.13,61.42,62.62,2618700.0,56.436615443829005
2013-06-26,60.51,61.4,60.34,60.71,2457500.0,54.715217559803
2013-06-25,59.33,60.27,58.97,60.06,2197100.0,53.907414150948
2013-06-24,59.61,59.8,58.04,58.54,2394400.0,52.543123949325
2013-06-21,61.34,61.65,59.99,60.19,4040100.0,54.02409686556
2013-06-20,62.84,62.85,60.97,61.49,3366900.0,55.190924011685
2013-06-19,64.64,64.79,63.505,63.57,4052600.0,57.057847445484
2013-06-18,64.87,65.25,64.6,64.67,2286600.0,58.045162722974005
2013-06-17,64.53,65.0,64.1,64.65,1849000.0,58.02721153611
2013-06-14,64.48,64.66,63.66,63.88,1466500.0,57.336090841867
2013-06-13,64.15,64.5,63.32,64.26,1867100.0,57.677163392272995
2013-06-12,64.86,65.26,63.77,63.91,1613100.0,57.363017622162
2013-06-11,63.98,65.01,63.86,64.54,2448300.0,57.928480008361
2013-06-10,63.8,64.63,63.14,64.61,1723600.0,57.991309162383004
2013-06-07,64.07,64.37,63.35,64.15,1303300.0,57.578431864524
2013-06-06,63.0,63.89,62.47,63.86,1747100.0,57.318139655003996
2013-06-05,63.0,63.92,62.29,62.81,2045900.0,56.375702344672
2013-06-04,63.95,64.63,63.07,63.42,2664000.0,56.923213544008
2013-06-03,63.02,63.85,62.11,63.8,2397800.0,57.264286094413
2013-05-31,63.31,64.26,63.04,63.32,3177200.0,56.83345760969
2013-05-30,63.96,64.06,63.42,63.79,2107100.0,57.255310500982
2013-05-29,62.33,64.13,62.33,63.73,1798700.0,57.201456940391
2013-05-28,62.89,63.72,62.59,62.86,1810300.0,56.420580311830996
2013-05-24,61.83,62.59,61.04,62.3,2017800.0,55.917947079654
2013-05-23,59.85,62.618,59.85,62.26,3207000.0,55.882044705927
2013-05-22,60.69,62.145,60.07,60.4,3242800.0,54.212584327626
2013-05-21,59.89,60.94,59.62,60.72,1667100.0,54.499803317441994
2013-05-20,60.18,60.59,59.33,59.45,2212200.0,53.35990295161199
2013-05-17,59.43,60.48,59.13,60.46,2595300.0,54.266437888217
2013-05-16,59.61,60.4,59.0198,59.05,2765900.0,53.000879214343
2013-05-15,59.3,59.79,58.775,59.57,3079400.0,53.467610072793
2013-05-14,58.12,59.26,57.66,59.21,2340600.0,53.144488709251
2013-05-13,58.31,58.5833,57.53,57.91,2157900.0,51.977661563127
2013-05-10,57.88,58.48,57.44,58.47,2158700.0,52.480294795303
2013-05-09,58.0,58.48,56.74,57.68,4453700.0,51.771222914197
2013-05-08,58.55,59.55,58.55,59.01,3767700.0,52.964976840615996
2013-05-07,57.78,59.28,57.78,58.83,3303100.0,52.803416158844996
2013-05-06,57.36,58.65,57.17,58.13,2791200.0,52.175124618625
2013-05-03,57.3,57.98,56.79,57.15,2997400.0,51.295516462315
2013-05-02,55.65,56.79,55.03,56.66,3421200.0,50.855712384160995
2013-05-01,55.2,55.52,54.5,54.8,3131000.0,49.18625200586
2013-04-30,54.18,55.29,54.085,55.28,3617500.0,49.617080490583
2013-04-29,53.18,54.97,52.65,54.12,3477700.0,48.575911652502
2013-04-26,52.18,54.1,51.79,53.29,3638400.0,47.830937397669004
2013-04-25,55.07,57.96,52.01,52.6,7535200.0,47.21162145088
2013-04-24,53.59,54.53,52.39,52.9,3674100.0,47.480889253832
2013-04-23,50.95,53.3399,50.76,53.24,3477900.0,47.786059430509994
2013-04-22,50.0,50.7925,49.33,50.51,1616300.0,45.335722423648996
2013-04-19,49.04,50.13,48.78,49.93,3180900.0,44.815138004609004
2013-04-18,50.98,51.07,48.88,49.25,3543700.0,44.204797651252
2013-04-17,51.69,52.21,50.18,50.57,2253900.0,45.38957598424
2013-04-16,51.68,52.63,51.42,52.03,2287900.0,46.700012625271995
2013-04-15,52.22,53.67,51.08,51.16,2554300.0,45.919135996711
2013-04-12,52.41,52.94,51.91,52.32,1712600.0,46.960304834792005
2013-04-11,52.37,52.6,51.46,52.39,6565800.0,47.023133988814
2013-04-10,51.75,53.75,51.68,53.21,3715100.0,47.759132650214994
2013-04-09,50.32,51.89,50.32,51.57,2205700.0,46.287135327412
2013-04-08,49.75,50.32,49.6,50.23,1667100.0,45.084405807561
2013-04-05,50.07,50.07,48.97,49.8,2368800.0,44.69845528999699
2013-04-04,50.595,50.96,49.89,50.78,1654100.0,45.578063446306
2013-04-03,50.25,51.435,50.18,50.6,2920300.0,45.416502764535
2013-04-02,50.55,50.65,49.04,50.07,2439000.0,44.940796312653
2013-04-01,50.41,50.9,50.1,50.4,2167900.0,45.2369908959
2013-03-28,49.99,50.36,49.44,50.29,2586300.0,45.138259368151
2013-03-27,48.72,50.255,48.57,50.14,3257500.0,45.003625466675
2013-03-26,47.84,49.97,47.58,48.678999999999995,3987200.0,43.6922912663
2013-03-25,48.2,48.25,46.95,47.53,1953400.0,42.443021600426
2013-03-22,48.39,48.42,47.32,47.93,2007800.0,42.800210925908
2013-03-21,49.0,49.05,47.44,48.1,2671600.0,42.952016389238004
2013-03-20,49.48,49.6,48.89,49.32899999999999,2173800.0,44.049480591782
2013-03-19,49.63,49.88,48.37,48.86,2432600.0,43.630676107654
2013-03-18,49.62,50.22,49.05,49.6,1607600.0,44.291476359797
2013-03-15,50.5,51.0,49.81,50.16,2743200.0,44.791541415472004
2013-03-14,50.43,50.84,50.19,50.715,1936100.0,45.287141604578
2013-03-13,50.0,50.85,49.545,50.39,3449100.0,44.996925277623994
2013-03-12,48.15,50.0,47.59,49.99,3903000.0,44.639735952142
2013-03-11,47.41,48.08,47.17,48.01,1781200.0,42.871648791005
2013-03-08,47.57,47.82,47.02,47.66,3138000.0,42.559108131208
2013-03-07,48.75,48.8,46.75,47.27,4092900.0,42.210848538863004
2013-03-06,48.63,49.58,48.59,48.83,3130500.0,43.603886908243
2013-03-05,48.15,48.59,47.63,48.37,2461100.0,43.193119183939
2013-03-04,48.2,48.23,47.24,47.81,2354200.0,42.693054128263995
2013-03-01,47.0,48.27,46.44,48.18,2663100.0,43.023454254335
2013-02-28,46.91,47.735,46.77,47.16,1564900.0,42.112621474355
2013-02-27,45.82,47.315,45.36,47.01,2538900.0,41.978675477299
2013-02-26,44.99,46.05,44.44,45.87,3207500.0,40.960685899675
2013-02-25,46.19,46.35,44.8,44.81,2129000.0,40.014134187147
2013-02-22,46.09,46.58,45.56,45.9,1650200.0,40.987475099086
2013-02-21,46.44,46.72,45.17,45.74,3186100.0,40.844599368893
2013-02-20,48.68,48.71,46.52,46.54,2234500.0,41.558978019857
2013-02-19,48.59,49.24,48.41,48.57,2100800.0,43.37171384668
2013-02-15,48.89,49.23,48.04,48.59,2287700.0,43.389573312954
2013-02-14,48.56,49.22,48.36,48.81,2032600.0,43.586027441969
2013-02-13,48.36,48.9,48.25,48.63,1590500.0,43.42529224550201
2013-02-12,48.47,48.7,47.905,48.18,1644400.0,43.023454254335
2013-02-11,48.58,48.8,48.16,48.6,2358700.0,43.398503046091
2013-02-08,47.76,49.185,47.63,48.49,2914100.0,43.300275981583006
2013-02-07,47.7,47.83,46.47,47.6,3157600.0,42.505529732385
2013-02-06,46.55,48.0,46.52,47.99,3549700.0,42.853789324731004
2013-02-05,46.37,47.0,46.02,46.63,3175900.0,41.639345618091
2013-02-04,46.62,47.21,46.33,46.38,2986700.0,41.416102289665
2013-02-01,47.4,47.89,46.17,46.77,3446200.0,41.76436188201
2013-01-31,46.3,47.38,46.05,47.0,3866300.0,41.969745744162005
2013-01-30,46.18,47.04,46.1101,46.85,3911500.0,41.835799747106
2013-01-29,47.39,47.46,44.92,46.11,10305000.0,41.174999494964
2013-01-28,47.95,49.5,47.61,48.64,4522300.0,43.434221978639
2013-01-25,47.84,48.58,47.72,48.08,3379100.0,42.934156922964
2013-01-24,47.25,49.42,46.41,47.79,7070200.0,42.675194661989
2013-01-23,47.48,47.77,46.52,47.07,6161300.0,42.032253876121004
2013-01-22,45.12,47.58,44.96,47.36,9540700.0,42.291216137096
2013-01-18,45.29,45.29,44.25,44.81,4277900.0,40.014134187147
2013-01-17,45.31,45.65,45.06,45.22,2678000.0,40.380253245766
2013-01-16,44.54,45.64,44.52,45.31,3406800.0,40.460620844
2013-01-15,44.16,44.93,43.8,44.84,3326900.0,40.040923386558
2013-01-14,43.98,44.925,43.53,44.7,4370600.0,39.915907122639
2013-01-11,44.19,44.5,43.895,43.98,2774500.0,39.272966336771
2013-01-10,43.76,44.25,43.66,44.16,4324500.0,39.433701533238
2013-01-09,42.6,43.96,42.49,43.8,5765700.0,39.112231140304
2013-01-08,42.6,43.0,41.62,41.98,3800600.0,37.48701970936
2013-01-07,42.62,43.46,42.5,42.9,3268500.0,38.308555157968996
2013-01-04,43.14,43.25,42.51,42.88,2735500.0,38.290695691695
2013-01-03,43.21,43.89,42.88,43.02,2978300.0,38.415711955614
2013-01-02,43.53,44.22,42.87,43.44,4426300.0,38.79076074737
