Date,Open,High,Low,Close,Volume,AdjClose
2013-08-13,79.14,79.64,78.08,79.44,6956400.0,72.556847302698
2013-08-12,78.62,79.54,78.58,79.2,3844400.0,72.337642325953
2013-08-09,79.68,79.73,78.53,78.97,5299300.0,72.127570889905
2013-08-08,79.43,80.22,79.09,80.04,4467900.0,73.10485974456101
2013-08-07,79.56,79.57,78.6,78.83,5322200.0,71.99970132013699
2013-08-06,79.62,80.33,78.74,80.05,6311100.0,73.113993285259
2013-08-05,79.95,79.9548,79.37,79.66,3578500.0,72.757785198048
2013-08-02,78.64,80.5,78.5,80.23,5964400.0,73.27839701781801
2013-08-01,79.52,79.97,78.61,78.64,6727400.0,71.82616404688001
2013-07-31,78.69,79.73,78.69,79.03,5915000.0,72.182372134091
2013-07-30,79.17,79.27,78.52,78.6,4813400.0,71.78962988408901
2013-07-29,78.64,78.98,78.37,78.67,5179000.0,71.853564668973
2013-07-26,78.42,79.37,78.25,78.74,5577600.0,71.917499453857
2013-07-25,80.09,80.1,77.89,78.99,9967600.0,72.1458379713
2013-07-24,80.45,80.47,79.58,80.27,4813300.0,73.314931180609
2013-07-23,80.14,80.47,79.86,80.19,4985800.0,73.241862855027
2013-07-22,79.98,80.06,79.25,80.0,5957900.0,73.06832558177
2013-07-19,79.95,80.12,79.42,79.89,5886200.0,72.967856634095
2013-07-18,80.33,80.45,79.96,80.02,5297800.0,73.086592663166
2013-07-17,80.76,81.23,80.3901,80.44,5700200.0,73.47020137247
2013-07-16,80.41,80.69,79.84,80.22,5031500.0,73.26926347711999
2013-07-15,80.63,81.15,80.17,80.4,5041400.0,73.433667209679
2013-07-12,79.92,80.75,79.92,80.54,5178300.0,73.561536779447
2013-07-11,80.27,80.68,79.58,79.86,6845700.0,72.940456012002
2013-07-10,79.67,79.7,78.61,79.4,5459400.0,72.520313139907
2013-07-09,79.54,80.15,79.33,79.7,4986400.0,72.794319360839
2013-07-08,78.56,79.54,78.54,79.22,6051200.0,72.35590940734801
2013-07-05,77.91,78.56,77.4,78.29,4991500.0,71.50649012246
2013-07-03,76.99,77.99,76.92,77.73,3025600.0,70.995011843388
2013-07-02,77.29,78.12,76.96,77.31,6886300.0,70.611403134083
2013-07-01,77.63,77.8099,76.63,76.87,7471000.0,70.209527343384
2013-06-28,76.16,77.79,75.92,77.47,12475000.0,70.757539785247
2013-06-27,75.99,76.82,75.8,76.27,6674500.0,69.66151490152
2013-06-26,74.79,75.87,74.58,75.67,7390100.0,69.113502459657
2013-06-25,74.07,74.725,73.8,74.14,8520800.0,67.716070732906
2013-06-24,72.9,74.02,72.41,73.51,10214400.0,67.140657668949
2013-06-21,74.49,74.69,73.02,73.82,15552500.0,67.423797430579
2013-06-20,75.43,75.43,73.8,73.87,12373500.0,67.46946513406701
2013-06-19,77.07,77.27,75.92,75.93,8027600.0,69.35097451779801
2013-06-18,76.12,77.37,76.12,77.19,6421500.0,70.501800645711
2013-06-17,77.08,77.48,75.69,76.14,9315500.0,69.54277887245
2013-06-14,76.22,76.95,76.07,76.59,8613100.0,69.953788203847
2013-06-13,76.35,76.83,76.08,76.53,9194600.0,69.898986959661
2013-06-12,78.04,78.3,76.36,76.4,7360200.0,69.780250930591
2013-06-11,77.23,78.53,76.96,77.61,5979700.0,70.885409355015
2013-06-10,78.94,79.68,77.53,77.73,7627800.0,70.995011843388
2013-06-07,77.73,78.97,77.59,78.74,6555900.0,71.917499453857
2013-06-06,75.02,77.37,75.01,77.26,11515700.0,70.565735430595
2013-06-05,76.11,76.85,74.905,75.1,8761500.0,68.592890639887
2013-06-04,78.5,78.82,76.08,76.63,8791700.0,69.990322366638
2013-06-03,78.65,79.08,78.05,79.08,6191400.0,71.862304502126
2013-05-31,79.54,80.38,78.66,78.66,6905600.0,71.480638241493
2013-05-30,79.55,80.1,79.13,79.44,5449100.0,72.189447011241
2013-05-29,79.38,79.87,79.09,79.49,7127000.0,72.23488347084
2013-05-28,79.94,80.63,79.49,79.82,7715800.0,72.534764104195
2013-05-24,78.5,79.39,78.31,78.99,6188200.0,71.780518874848
2013-05-23,78.89,79.25,77.7901,78.91,9634900.0,71.707820539489
2013-05-22,79.26,81.56,79.18,79.69,14832400.0,72.41662930923701
2013-05-21,79.33,79.47,78.06,78.71,14108500.0,71.526074701092
2013-05-20,76.7701,77.0,76.5,76.76,8867700.0,69.754052776722
2013-05-17,76.3399,77.15,76.2,76.86,8735000.0,69.844925695921
2013-05-16,77.5,78.54,76.69,76.75,8299200.0,69.744965484802
2013-05-15,77.6,78.25,77.436,77.88,6706200.0,70.77182947174501
2013-05-14,76.7799,77.42,76.75,77.32,6071700.0,70.262941124234
2013-05-13,76.01,76.85,75.95,76.67,4466100.0,69.672267149444
2013-05-10,76.14,76.2,75.41,76.01,5169700.0,69.072505882734
2013-05-09,75.36,76.18,75.36,75.87,6338300.0,68.945283795856
2013-05-08,75.1901,75.5,74.92,75.42,6536600.0,68.536355659463
2013-05-07,75.24,75.2841,74.5962,75.07,5582300.0,68.218300442269
2013-05-06,73.88,75.37,73.88,75.26,5731200.0,68.39095898874601
2013-05-03,73.72,74.41,73.72,73.96,4953100.0,67.209611039166
2013-05-02,72.77,73.48,72.53,73.33,3722900.0,66.637111648216
2013-05-01,73.18,73.59,72.64,72.76,5554700.0,66.119136008785
2013-04-30,73.5,74.01,73.22,73.35,6601900.0,66.655286232056
2013-04-29,73.44,74.02,73.39,73.67,4518700.0,66.946079573491
2013-04-26,73.24,73.69,73.13,73.35,4983000.0,66.655286232056
2013-04-25,73.31,73.79,73.20100000000001,73.37,5645200.0,66.673460815895
2013-04-24,73.55,73.85,73.26,73.28,6248300.0,66.591675188617
2013-04-23,74.14,74.59,72.63,73.38,7898800.0,66.682548107815
2013-04-22,73.92,74.22,73.24,73.86,7223500.0,67.118738119968
2013-04-19,72.92,74.275,72.72,74.0,9579900.0,67.245960206845
2013-04-18,72.67,72.9,72.29,72.48,7549200.0,65.864691835029
2013-04-17,72.22,72.97,71.94,72.8,8838600.0,66.155485176464
2013-04-16,72.55,72.8,72.03,72.46,8119700.0,65.846517251189
2013-04-15,73.35,74.19,72.2101,72.23,8360600.0,65.63750953703301
2013-04-12,72.41,73.66,72.15,73.62,10493000.0,66.90064311389101
2013-04-11,71.83,72.6,71.733,71.9,7627800.0,65.337628903678
2013-04-10,71.4,71.785,70.97,71.69,5423200.0,65.14679577336099
2013-04-09,71.23,71.57,70.95,71.2,5994800.0,64.701518469289
2013-04-08,69.78,71.25,69.78,71.22,6097200.0,64.71969305312899
2013-04-05,70.0,70.25,69.61,70.06,6986100.0,63.665567190427
2013-04-04,70.36,70.8,70.08,70.69,6613700.0,64.238066581377
2013-04-03,70.85,70.94,70.02,70.36,7796000.0,63.938185948022
2013-04-02,69.9,71.05,69.83,71.02,7291600.0,64.537947214732
2013-04-01,69.51,70.77,69.51,69.67,5357700.0,63.311162805552996
2013-03-28,69.44,69.96,69.33,69.78,6752100.0,63.411123016671
2013-03-27,69.21,69.7,69.0,69.65,4156300.0,63.292988221713
2013-03-26,69.66,70.4,69.55,70.05,4661200.0,63.656479898507
2013-03-25,69.8,70.36,69.27,69.47,7027100.0,63.129416967156
2013-03-22,69.23,69.57,68.8028,69.56,5291800.0,63.211202594434994
2013-03-21,68.65,69.31,68.42,68.95,8045600.0,62.656877787324
2013-03-20,69.39,69.55,68.835,68.88,6112000.0,62.593266743885
2013-03-19,69.55,69.74,68.56,68.79,7657600.0,62.511481116607
2013-03-18,68.45,69.91,68.45,69.35,6011200.0,63.020369464118005
2013-03-15,70.03,70.19,69.05,69.05,11275100.0,62.747750706523
2013-03-14,70.87,70.96,70.18,70.24,6308900.0,63.829138444984
2013-03-13,70.79,70.94,70.35,70.76,5826700.0,64.301677624816
2013-03-12,70.9,71.14,70.46,70.75,4450400.0,64.292590332896
2013-03-11,71.32,71.38,71.0,71.32,4902500.0,64.455264865647
2013-03-08,70.59,71.45,70.39,71.37,6470300.0,64.500452235856
2013-03-07,70.4,70.5,69.94,70.25,4998300.0,63.488255143182
2013-03-06,70.47,70.959,70.275,70.48,5276600.0,63.696117046142
2013-03-05,70.58,70.965,70.12,70.47,8323800.0,63.687079572100004
2013-03-04,68.95,70.3,68.93,70.29,8375900.0,63.524405039349006
2013-03-01,68.38,69.115,68.09,69.03,6241800.0,62.385683310089995
2013-02-28,67.91,69.1876,67.86,68.5,8705100.0,61.906697185878
2013-02-27,67.58,68.28,67.37,68.06,14180400.0,61.509048328042
2013-02-26,65.56,68.0,65.49,67.56,22792900.0,61.057174625955
2013-02-25,65.96,66.55,63.82,63.92,10268800.0,57.767534074764
2013-02-22,64.8,65.74,64.5,65.58,7500700.0,59.267754765692
2013-02-21,65.8599,65.92,64.29,64.38,10622400.0,58.183257880684
2013-02-20,67.44,67.6,66.37,66.44,5598400.0,60.044977533281
2013-02-19,67.63,67.92,66.95,67.55,5455500.0,61.048137151914
2013-02-15,67.52,67.98899999999999,66.8,67.52,8131200.0,61.021024729787996
2013-02-14,67.13,67.47,66.96,67.34,5439700.0,60.858350197037
2013-02-13,67.52,67.67,67.18,67.45,3668900.0,60.957762411496
2013-02-12,66.7,67.43,66.52,67.32,4932500.0,60.840275248954
2013-02-11,66.87,66.98,66.225,66.38,3953500.0,59.990752689031
2013-02-08,66.55,67.02,66.41,67.01,4459000.0,60.56011355366
2013-02-07,66.65,66.6961,65.83,66.31,5743500.0,59.927490370739
2013-02-06,66.04,66.7225,66.0,66.67,5187000.0,60.252839436241
2013-02-05,66.63,66.93,66.31,66.39,7112000.0,59.99979016307201
2013-02-04,66.86,67.22,66.32,66.36,4741000.0,59.972677740947
2013-02-01,67.62,67.74,67.205,67.3,4983300.0,60.82220030087
2013-01-31,67.23,67.56,66.92,66.92,5615900.0,60.478776287284
2013-01-30,67.22,67.58,67.01,67.24,5102200.0,60.76797545662
2013-01-29,67.5,67.8,66.97,67.2,6504300.0,60.731825560453
2013-01-28,68.15,68.15,67.26,67.58,6561200.0,61.075249574039
2013-01-25,67.61,68.13,67.29,67.82,7494700.0,61.29214895104
2013-01-24,66.56,67.69,66.56,67.35,8484600.0,60.867387671078994
2013-01-23,65.47,66.48,65.31,66.46,6795500.0,60.063052481365006
2013-01-22,65.39,65.985,65.22,65.75,6574000.0,59.421391824401
2013-01-18,65.2,65.48,64.96,65.47,6534400.0,59.168342551232996
2013-01-17,64.19,65.29,64.04,65.05,7796000.0,58.788768641480004
2013-01-16,63.64,64.0,63.55,63.86,3915400.0,57.713309230514
2013-01-15,63.5,64.01,63.45,63.95,5119400.0,57.794646496889
2013-01-14,63.66,63.9,63.39,63.48,4532200.0,57.369885216928
2013-01-11,63.47,63.76,63.342,63.7,4567100.0,57.568709645846006
2013-01-10,63.38,63.62,62.78,63.62,6714100.0,57.496409853512
2013-01-09,63.51,63.63,63.01,63.17,4712400.0,57.089723521634
2013-01-08,62.75,63.46,62.73,63.22,5433000.0,57.134910891843006
2013-01-07,62.6,63.0,62.38,62.8412,5466500.0,56.792571375142
2013-01-04,63.21,63.37,63.0,63.18,4779100.0,57.098760995676
2013-01-03,63.78,63.93,63.08,63.3,6056800.0,57.207210684177
2013-01-02,63.57,63.71,62.61,63.48,9067200.0,57.369885216928
